Log File Name:,.\log\cowrie.json.2020-11-10.txt
Time Stamp,Action Type,Session,IP,Command List,List Mitre Attack
2020-11-10T10:01:37.806358Z,CPU/OS architecture emulated by cowrie saved as linux-x64-lsb,7e035df9ccda,110.138.151.174,-,
2020-11-10T10:01:48.716731Z,New Connection to SSH,5e7c976ea4cb,103.125.43.28,-,
2020-11-10T10:01:48.724394Z,Version,5e7c976ea4cb,103.125.43.28,-,
2020-11-10T10:01:48.767061Z,Cowrie save the SSH client hassh fingerprint as 2dd6531c7e89d3c925db9214711be76a,5e7c976ea4cb,103.125.43.28,-,
2020-11-10T10:01:51.615562Z,Login attemp as nat@sdsd failed,5e7c976ea4cb,103.125.43.28,-,
2020-11-10T10:01:57.326148Z,Login attemp as nat@ failed,5e7c976ea4cb,103.125.43.28,-,
2020-11-10T10:02:03.201856Z,Login attemp as nat@password failed,5e7c976ea4cb,103.125.43.28,-,
2020-11-10T10:02:04.265954Z,Connection lost from SSH,5e7c976ea4cb,103.125.43.28,-,
2020-11-10T10:02:09.200144Z,Connection lost from SSH,53b8b37017e7,110.138.151.174,-,
2020-11-10T10:02:09.227965Z,Run a command,7e035df9ccda,110.138.151.174,abcd,
2020-11-10T10:02:09.231529Z,Command failed to run,7e035df9ccda,110.138.151.174,Command not found: abcd,
2020-11-10T10:02:12.006137Z,Run a command,7e035df9ccda,110.138.151.174,,
2020-11-10T10:02:13.150105Z,Run a command,7e035df9ccda,110.138.151.174,ls,
2020-11-10T10:02:14.772365Z,Run a command,7e035df9ccda,110.138.151.174,ls,
2020-11-10T10:02:18.177205Z,Run a command,7e035df9ccda,110.138.151.174,ufw status,
2020-11-10T10:02:18.190763Z,Command failed to run,7e035df9ccda,110.138.151.174,Command not found: ufw status,
2020-11-10T10:02:27.237401Z,New Connection to SSH,4034c4584200,103.125.43.28,-,
2020-11-10T10:02:27.260783Z,Version,4034c4584200,103.125.43.28,-,
2020-11-10T10:02:27.307331Z,Cowrie save the SSH client hassh fingerprint as 2dd6531c7e89d3c925db9214711be76a,4034c4584200,103.125.43.28,-,
2020-11-10T10:02:28.149618Z,Login attemp as nat@ failed,4034c4584200,103.125.43.28,-,
2020-11-10T10:02:28.629352Z,Run a command,7e035df9ccda,110.138.151.174,sudo ,
2020-11-10T10:02:31.110628Z,Run a command,7e035df9ccda,110.138.151.174,sudo -v,
2020-11-10T10:02:43.991299Z,Connection lost from SSH,4034c4584200,103.125.43.28,-,
2020-11-10T10:02:49.171441Z,New Connection to SSH,b4fd6afd8cb6,103.125.43.28,-,
2020-11-10T10:02:49.181110Z,Version,b4fd6afd8cb6,103.125.43.28,-,
2020-11-10T10:02:49.254188Z,Cowrie save the SSH client hassh fingerprint as 2dd6531c7e89d3c925db9214711be76a,b4fd6afd8cb6,103.125.43.28,-,
2020-11-10T10:02:49.604198Z,Run a command,7e035df9ccda,110.138.151.174,sudo,
2020-11-10T10:02:50.274778Z,Login attemp as root@ success,b4fd6afd8cb6,103.125.43.28,-,
2020-11-10T10:02:50.782030Z,Cowrie save the size of terminal session as height: 30 and width 120,b4fd6afd8cb6,103.125.43.28,-,
2020-11-10T10:02:51.630399Z,CPU/OS architecture emulated by cowrie saved as linux-x64-lsb,b4fd6afd8cb6,103.125.43.28,-,
2020-11-10T10:02:53.347973Z,Run a command,7e035df9ccda,110.138.151.174,sudo ls,
2020-11-10T10:02:55.933397Z,Run a command,b4fd6afd8cb6,103.125.43.28,asd,
2020-11-10T10:02:56.013402Z,Command failed to run,b4fd6afd8cb6,103.125.43.28,Command not found: asd,
2020-11-10T10:02:58.235425Z,Run a command,7e035df9ccda,110.138.151.174,,
2020-11-10T10:02:59.085750Z,Run a command,b4fd6afd8cb6,103.125.43.28,pwd,
2020-11-10T10:03:02.057940Z,Run a command,7e035df9ccda,110.138.151.174,sudo ,
2020-11-10T10:03:03.809426Z,Run a command,7e035df9ccda,110.138.151.174,ls,
2020-11-10T10:03:06.838001Z,Run a command,7e035df9ccda,110.138.151.174,cd ,
2020-11-10T10:03:08.817369Z,Run a command,7e035df9ccda,110.138.151.174,cd ..,
2020-11-10T10:04:02.299363Z,Run a command,7e035df9ccda,110.138.151.174,help,
2020-11-10T10:04:05.344153Z,Run a command,7e035df9ccda,110.138.151.174,help,
2020-11-10T10:04:12.966967Z,Run a command,7e035df9ccda,110.138.151.174,h,
2020-11-10T10:04:13.462837Z,Command failed to run,7e035df9ccda,110.138.151.174,Command not found: h,
2020-11-10T10:04:18.261683Z,Run a command,7e035df9ccda,110.138.151.174,"echo ""hi""",
2020-11-10T10:04:34.856563Z,Closing TTY Log (Input Log) for this Session,7e035df9ccda,110.138.151.174,-,
2020-11-10T10:04:34.860350Z,Connection lost from SSH,7e035df9ccda,110.138.151.174,-,
2020-11-10T10:05:50.622381Z,Closing TTY Log (Input Log) for this Session,b4fd6afd8cb6,103.125.43.28,-,
2020-11-10T10:05:52.122810Z,Connection lost from SSH,b4fd6afd8cb6,103.125.43.28,-,
2020-11-10T10:31:57.789256Z,New Connection to SSH,f3c98645629a,185.96.55.121,-,
2020-11-10T10:32:29.391890Z,Connection lost from SSH,f3c98645629a,185.96.55.121,-,T444 (Reconisance) Test Connection | 
2020-11-10T10:35:07.359567Z,New Connection to SSH,ba9ae4035295,117.251.58.41,-,
2020-11-10T10:35:20.289507Z,Connection lost from SSH,ba9ae4035295,117.251.58.41,-,T444 (Reconisance) Test Connection | 
2020-11-10T10:35:23.381816Z,New Connection to SSH,07ba8be850f9,117.251.58.41,-,
2020-11-10T10:35:36.208875Z,Connection lost from SSH,07ba8be850f9,117.251.58.41,-,T444 (Reconisance) Test Connection | 
2020-11-10T10:35:45.325629Z,New Connection to SSH,31f28cd2266c,117.251.58.41,-,
2020-11-10T10:35:58.243073Z,Connection lost from SSH,31f28cd2266c,117.251.58.41,-,T444 (Reconisance) Test Connection | 
2020-11-10T10:36:01.326733Z,New Connection to SSH,760385fbef01,117.251.58.41,-,
2020-11-10T10:36:14.288959Z,Connection lost from SSH,760385fbef01,117.251.58.41,-,T444 (Reconisance) Test Connection | 
2020-11-10T10:36:14.368977Z,New Connection to SSH,7bc0cb656834,117.251.58.41,-,
2020-11-10T10:36:27.242073Z,Connection lost from SSH,7bc0cb656834,117.251.58.41,-,T444 (Reconisance) Test Connection | 
2020-11-10T10:36:27.322831Z,New Connection to SSH,a552eaeff2ae,117.251.58.41,-,
2020-11-10T10:36:40.328113Z,Connection lost from SSH,a552eaeff2ae,117.251.58.41,-,T444 (Reconisance) Test Connection | 
2020-11-10T10:36:40.409917Z,New Connection to SSH,b2ed1f9471a4,117.251.58.41,-,
2020-11-10T10:36:53.252438Z,Connection lost from SSH,b2ed1f9471a4,117.251.58.41,-,T444 (Reconisance) Test Connection | 
2020-11-10T10:36:56.355159Z,New Connection to SSH,85ce72e02257,117.251.58.41,-,
2020-11-10T10:37:09.278499Z,Connection lost from SSH,85ce72e02257,117.251.58.41,-,T444 (Reconisance) Test Connection | 
2020-11-10T10:55:31.910243Z,New Connection to SSH,4b6db568f182,2.188.94.5,-,
2020-11-10T10:55:31.941491Z,New Connection to SSH,6ff9db0dbca1,2.188.94.5,-,
2020-11-10T10:55:33.015984Z,Login attemp as root@user success,4b6db568f182,2.188.94.5,-,
2020-11-10T10:55:33.073213Z,CPU/OS architecture emulated by cowrie saved as linux-x64-lsb,4b6db568f182,2.188.94.5,-,
2020-11-10T10:55:33.155923Z,Login attemp as admin@12345 failed,6ff9db0dbca1,2.188.94.5,-,
2020-11-10T10:55:33.423954Z,Run a command,4b6db568f182,2.188.94.5,enable,
